City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,retiro,-34.5833,-58.3833,19.56,88,0,6.26,AR,2024-10-16
79,ust-tsilma,65.441,52.1498,2.31,97,100,4.52,RU,2024-10-16
80,saipan,15.1355,145.701,31.39,70,40,2.06,MP,2024-10-16
81,rocky mountain house,52.3668,-114.9188,7.06,81,100,0.51,CA,2024-10-16
82,altai,46.3722,96.2583,3.85,40,91,1.73,MN,2024-10-16
83,malvan,16.0667,73.4667,27.8,80,93,1.99,IN,2024-10-16
84,avarua,-21.2078,-159.775,24.03,57,75,3.09,CK,2024-10-16
85,severo-yeniseyskiy,60.3725,93.0408,-5.73,76,68,4.3,RU,2024-10-16
86,karatau,43.1667,70.4667,5.26,44,0,8.89,KZ,2024-10-16
87,yemetsk,63.4721,41.7941,2.97,93,100,3.65,RU,2024-10-16
88,aitape,-3.1374,142.3475,30.68,64,71,4.2,PG,2024-10-16
89,ust-nera,64.5667,143.2,-8.47,89,100,1.58,RU,2024-10-16
90,sosnytsya,51.5239,32.4999,7.42,81,98,2.29,UA,2024-10-16
91,behompy,-23.2496,43.8557,20.96,73,90,3.81,MG,2024-10-16
92,hithadhoo,-0.6,73.0833,28.77,72,61,6.07,MV,2024-10-16
93,karratha,-20.7377,116.8463,32.02,24,0,8.72,AU,2024-10-16
94,abbeville,50.1,1.8333,14.16,92,90,5.94,FR,2024-10-16
95,kargasok,59.0556,80.8572,1.36,82,76,3.0,RU,2024-10-16
96,papatowai,-46.5619,169.4708,10.03,59,7,3.14,NZ,2024-10-16
97,tejen,37.3834,60.5054,13.69,38,4,5.19,TM,2024-10-16
98,namtsy,62.7161,129.6658,-2.95,84,99,2.12,RU,2024-10-16
99,naze,28.3667,129.4833,24.51,79,5,1.89,JP,2024-10-16
100,greymouth,-42.4667,171.2,13.83,69,43,2.92,NZ,2024-10-16
101,kilindoni,-7.9139,39.6668,25.32,75,14,2.41,TZ,2024-10-16
102,live oak,36.9836,-121.9805,18.77,85,0,1.34,US,2024-10-16
103,kavaratti,10.5669,72.642,27.03,80,100,4.46,IN,2024-10-16
104,coyhaique,-45.5752,-72.0662,3.82,96,85,1.65,CL,2024-10-16
105,obsharovka,53.125,48.8531,5.57,42,100,1.91,RU,2024-10-16
106,port elizabeth,-33.918,25.5701,15.17,82,0,11.32,ZA,2024-10-16
107,north charleston,32.8886,-80.0075,16.63,83,2,0.45,US,2024-10-16
108,olonkinbyen,70.9221,-8.7187,0.4,85,100,7.22,SJ,2024-10-16
109,kingston,17.997,-76.7936,25.53,89,75,9.26,JM,2024-10-16
110,bredasdorp,-34.5322,20.0403,10.66,90,0,2.45,ZA,2024-10-16
111,mumford,5.2618,-0.759,24.81,89,18,2.39,GH,2024-10-16
112,kodiak,57.79,-152.4072,6.73,70,0,2.06,US,2024-10-16
113,colombia,20.9881,-77.4297,24.09,92,51,2.43,CU,2024-10-16
114,bethel,41.3712,-73.414,6.48,79,0,3.09,US,2024-10-16
115,daru,-9.0763,143.2092,27.91,74,48,4.13,PG,2024-10-16
116,kalabo,-14.97,22.6814,19.4,75,68,3.18,ZM,2024-10-16
117,west island,-12.1568,96.8225,27.99,78,40,6.17,CC,2024-10-16
118,klyuchi,52.2667,79.1667,2.76,56,87,2.16,RU,2024-10-16
119,puerto san jose,13.9256,-90.8244,26.24,83,70,2.87,GT,2024-10-16
120,kilju,40.9642,129.3278,11.97,63,94,3.7,KP,2024-10-16
121,yuzhno-kurilsk,44.0306,145.8556,12.97,68,88,11.31,RU,2024-10-16
122,muromtsevo,56.3724,75.2418,2.98,75,55,1.94,RU,2024-10-16
123,port mathurin,-19.6833,63.4167,23.12,75,97,6.78,MU,2024-10-16
124,ilulissat,69.2167,-51.1,-2.99,63,100,7.2,GL,2024-10-16
125,coahuayana de hidalgo,18.7,-103.6583,25.3,92,9,1.42,MX,2024-10-16
126,santa terezinha,-29.9002,-50.0904,19.14,95,100,2.74,BR,2024-10-16
127,west end,26.6833,-78.9667,26.71,67,100,3.35,BS,2024-10-16
128,longyearbyen,78.2186,15.6401,-0.09,86,40,1.54,SJ,2024-10-16
129,digora,43.1581,44.1569,12.05,89,89,0.96,RU,2024-10-16
130,aginskoye,51.1,114.53,1.38,46,6,7.97,RU,2024-10-16
131,lazaro cardenas,17.9583,-102.2,25.99,89,13,1.57,MX,2024-10-16
132,arraial do cabo,-22.9661,-42.0278,21.45,84,100,7.79,BR,2024-10-16
133,susuman,62.7833,148.1667,-5.75,92,100,1.96,RU,2024-10-16
134,port lincoln,-34.7333,135.8667,21.26,70,49,4.67,AU,2024-10-16
135,hawaiian paradise park,19.5933,-154.9731,26.73,79,100,2.57,US,2024-10-16
136,sidney,-33.8679,151.2073,19.69,52,0,3.6,AU,2024-10-16
137,plettenberg bay,-34.0527,23.3716,12.03,66,0,2.85,ZA,2024-10-16
138,hovd,48.0056,91.6419,4.49,63,100,1.8,MN,2024-10-16
139,iqaluit,63.7506,-68.5145,-0.15,86,75,1.54,CA,2024-10-16
140,yorkton,51.2167,-102.4677,7.91,49,0,6.17,CA,2024-10-16
141,kailua-kona,19.6406,-155.9956,29.04,80,40,3.09,US,2024-10-16
142,brokopondo,4.75,-55.1667,24.72,86,52,3.9,SR,2024-10-16
143,chernyshevskiy,63.0128,112.4714,-10.32,59,100,3.07,RU,2024-10-16
144,thompson,55.7435,-97.8558,5.09,75,75,2.57,CA,2024-10-16
145,indi,17.1667,75.9667,27.21,71,100,2.92,IN,2024-10-16
146,st. john's,47.5649,-52.7093,12.76,90,20,9.26,CA,2024-10-16
147,itoman,26.1247,127.6694,29.49,73,34,0.87,JP,2024-10-16
148,rosarito,32.3333,-117.0333,18.54,86,0,0.58,MX,2024-10-16
149,aykhal,66.0,111.5,-14.29,94,100,11.15,RU,2024-10-16
150,tralee,52.2704,-9.7026,13.52,98,62,2.64,IE,2024-10-16
151,cabedelo,-6.9811,-34.8339,25.37,80,57,4.93,BR,2024-10-16
152,hailar,49.2,119.7,5.36,39,78,6.75,CN,2024-10-16
153,georgetown,5.4112,100.3354,28.86,74,40,3.6,MY,2024-10-16
154,margate,51.3813,1.3862,13.82,89,98,0.89,GB,2024-10-16
155,flying fish cove,-10.4217,105.6791,27.82,69,40,6.69,CX,2024-10-16
156,dera bugti,29.0307,69.151,31.27,16,99,3.43,PK,2024-10-16
157,tashtyp,52.7939,89.8983,2.83,65,48,1.55,RU,2024-10-16
158,tofol,5.3248,163.0078,29.88,79,100,2.57,FM,2024-10-16
159,ziro,27.6333,93.8333,19.74,52,88,0.21,IN,2024-10-16
160,lorengau,-2.0226,147.2712,26.68,84,100,3.32,PG,2024-10-16
161,ad dawadimi,24.5077,44.3924,22.64,25,0,5.5,SA,2024-10-16
162,igarka,67.4667,86.5833,-16.32,93,20,3.1,RU,2024-10-16
163,gassol,8.5333,10.4667,21.16,95,93,0.17,NG,2024-10-16
164,barah,13.7,30.3667,28.81,51,90,2.81,SD,2024-10-16
165,kapuskasing,49.4169,-82.4331,2.05,93,100,5.14,CA,2024-10-16
166,kisangani,0.5167,25.2,20.32,99,100,0.87,CD,2024-10-16
167,vernon,50.2581,-119.2691,12.64,94,100,0.51,CA,2024-10-16
168,college,64.8569,-147.8028,0.04,84,75,3.09,US,2024-10-16
169,praia da vitoria,38.7333,-27.0667,18.14,72,40,9.29,PT,2024-10-16
170,ribeira grande,38.5167,-28.7,18.21,78,82,4.47,PT,2024-10-16
171,plouzane,48.3833,-4.6167,17.1,100,100,3.6,FR,2024-10-16
172,wabag,-5.4781,143.7021,16.42,98,99,1.64,PG,2024-10-16
173,jijiang,29.2906,106.2542,27.25,48,60,2.44,CN,2024-10-16
174,reggane,26.7158,0.1714,30.65,27,93,4.24,DZ,2024-10-16
